ID;Bezeichner;Footprint;Stückzahl;Bezeichnung
1;C16,C12,C6,C14,C15,C7,C11,C9,C13,C10,C8,C5;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;12;10nF
2;R20,R8,R19,R10,R23,R12,R16,R22,R24,R14,R18,R21;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;12;10k
3;R17,R13,R15,R11,R7,R9;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;6;490k
4;J3,J4,J5,J2,J6,J1;JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical;6;JST-Bu
5;D1,D4,D2,D5,D3,D6;TSOT-23;6;BAT54S
6;R31;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;100R
7;R26,R28,R29,R30,R27,R25;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;6;140k
8;U4;SOT-223-3_TabPin2;1;AMS1117-3.3
9;C4,C3;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;2;100nF
10;R5,R6,R1,R4,R3,R2;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;6;10R
11;U1,U2;SOIC-14_3.9x8.7mm_P1.27mm;2;MCP6044
12;C20,C22;C_1210_3225Metric;2;2,2uF
13;C19;CP_Elec_5x3;1;10 uF
14;U6;ESP32-DevKitC;1;ESP32-DevKitC
15;C2,C1;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;2;10uF
16;U3;SOIC127P600X175-16N;1;MCP3208-BI/SL
17;J7;JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical;1;JST-BU
18;U5;SOIC-8_3.9x4.9mm_P1.27mm;1;LM385S-1.2
19;R32;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;820R
20;C21;CP_Elec_5x3;1;10uF
21;C17,C18;C_1210_3225Metric;2;4,7uF
